Column1,folder,File Name,Original Language,Translated Language,Translated Transcription,Original Transcription,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23,_24,_25,_26,_27,_28,_29,_30,_31,_32,_33,_34,_35,_36,_37,_38,_39,_40,_41,_42
314,3790,3790_2022-03-23_Descrambled_2.22AM_UTC.wav,RU,EN-US,"0:00:30 10
0:00:32 10
0:00:42 10, drop-off 1
0:00:47 10, landing 1, 10
0:00:52 10, 10
0:00:54 13,ain, 1
0:01:01 16, aye, 10, 2, 1 Mittstres
0:01:06 12, I haveAsco
0:01:09 3, kids, I have yakidas hai
0:01:10 But, b+, 10 pass, well, what-ha
0:01:11 No, I don't.
0:01:16 6, prest?, miss.
0:01:20 10
0:01:25 6, miss, I'm on 5, on 5
0:01:31 1, I'm courting, what's there, there, there
0:01:36 1, miss, I'm on 5, I'm on 5, I'm on 5, I'm on 5
0:01:41 No record, man.
0:01:45 No record, will probably be somewhere else
0:01:51 Released will appear
0:01:55 No record, will probably be somewhere else
0:02:01 Ready, call
0:02:06 Miss, I have one more thing.
0:02:11 Ready, call
0:02:22 Ready, call
0:02:25 10, I have 5, 5, 5, 5
0:02:35 1, Miss.
0:02:49 factions
0:02:56 schools
0:03:03 Forever
0:03:08 Bye
0:03:13 all
0:03:18 not
0:03:24 banana
0:03:30 so
0:03:31 download
","0:00:30:  10
 0:00:32:  10
 0:00:42:  10, ??????? 1
 0:00:47:  10, ??????? 1, 10
 0:00:52:  10, 10
 0:00:54:  13,ain, 1
 0:01:01:  16, ????, 10, 2, 1 Mittstres
 0:01:06:  12, ? ????Asco
 0:01:09:  3, kids, ? ???? ???idas hai
 0:01:10:  ??, ?+, 10 pass, ??, ???-??
 0:01:11:  ???, ??? ???
 0:01:16:  6, ??????, ????
 0:01:20:  10
 0:01:25:  6, ????, ? ?? 5, ?? 5
 0:01:31:  1, ? ???? ????????, ??? ???, ???, ???
 0:01:36:  1, ????, ? ?? 5, ? ?? 5, ? ?? 5, ? ?? 5
 0:01:41:  ?????? ???, ?????
 0:01:45:  ?????? ???, ????????, ????????, ???-?? ???
 0:01:51:  ??????????? ????????
 0:01:55:  ?????? ???, ????????, ????????, ???-?? ???
 0:02:01:  ??????, ?????
 0:02:06:  ????, ?????? ? ???? ??? ????
 0:02:11:  ??????, ?????
 0:02:22:  ??????, ?????
 0:02:25:  10, ? ???? ?? 5, ?? 5, ?? 5
 0:02:35:  1, ????
 0:02:49:  factions
 0:02:56:  ?????
 0:03:03:  ??????
 0:03:08:  ????
 0:03:13:  ???
 0:03:18:  ??
 0:03:24:  ??????
 0:03:30:  ???????
 0:03:31:  ???????
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,3795,websdr_recording_start_2022-03-01T21_34_18Z_3795.9kHz.wav,RU,EN-US,"0:03:00 Subtitles by DimaTorzok
","0:03:00:  ???????? ????? DimaTorzok
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,3795,websdr_recording_start_2022-03-02T01_35_06Z_3795.5kHz.wav,RU,EN-US,"0:01:00 Subtitles by DimaTorzok
","0:01:00:  ???????? ????? DimaTorzok
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,3795,websdr_recording_start_2022-03-02T01_36_39Z_3795.5kHz.wav,RU,EN-US,"0:05:00 Subtitles by DimaTorzok
","0:05:00:  ???????? ????? DimaTorzok
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,3797,websdr_recording_2022-03-01T232457Z_3797.3kHz.wav,RU,EN-US,"0:03:30 ??
","0:03:30:  ??
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,3797,websdr_recording_2022-03-02T00_30_46Z_3797.0kHz.wav,RU,EN-US,"0:05:30 To be continued...
0:06:00 To be continued...
0:06:30 To be continued...
0:07:00 To be continued...
0:07:30 To be continued...
","0:05:30:  ??????????? ???????...
 0:06:00:  ??????????? ???????...
 0:06:30:  ??????????? ???????...
 0:07:00:  ??????????? ???????...
 0:07:30:  ??????????? ???????...
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,3800,websdr_recording_2022-03-24T13 16 07Z_3800.0kHz.wav,RU,EN-US,"0:00:00 82, I score you 4 points.
0:00:04 Zinaida, Boris, Dmitri.
0:00:08 Zinaida, Semyon, Vasily. Reception.
","0:00:00:  82, ??????? ??? ?? 4 ?????.
 0:00:04:  ???????, ?????, ???????.
 0:00:08:  ???????, ?????, ???????. ?????.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,3800,websdr_recording_2022-03-24T14 27 08Z_3800.0kHz.wav,RU,EN-US,"0:00:00 WFP 36.
0:00:05 Box 8.2.
0:00:07 4 points.
0:00:09 Zinaida.
0:00:11 Boris.
0:00:13 Anna.
0:00:15 Dmitry.
0:00:17 Basil.
0:00:19 Reception.
0:00:31 Carcass 82.
0:00:33 Zinaida.
0:00:35 Gregory.
0:00:37 Leonid.
0:00:39 Reception.
0:01:01 Reception.
0:01:06 Zinaida.
0:01:14 Carcass 82.
0:01:16 Preparing for takeoff.
0:01:18 Reception.
0:01:20 Carcass 82.
0:01:22 Duty.
0:01:24 Reception.
0:01:26 Reception.
0:01:50 Photon 99.
0:01:52 Carcass 82.
0:01:54 Reception.
0:02:14 Photon 99.
0:02:16 Carcass 82.
0:02:18 Photon 99.
0:02:20 Reception.
0:02:22 Carcass 82.
0:02:24 Duty.
0:02:26 Reception.
0:02:28 Photon 99.
0:02:30 Duty.
0:02:32 Reception.
0:02:34 Carcass 82.
0:02:36 Duty.
0:02:38 Reception.
0:02:48 Photon 98.
0:02:50 Carcass 82.
0:02:52 Reception.
","0:00:00:  ??? 36.
 0:00:05:  ?????? 8.2.
 0:00:07:  4 ?????.
 0:00:09:  ???????.
 0:00:11:  ?????.
 0:00:13:  ????.
 0:00:15:  ???????.
 0:00:17:  ???????.
 0:00:19:  ?????.
 0:00:31:  ?????? 82.
 0:00:33:  ???????.
 0:00:35:  ????????.
 0:00:37:  ??????.
 0:00:39:  ?????.
 0:01:01:  ?????.
 0:01:06:  ???????.
 0:01:14:  ?????? 82.
 0:01:16:  ????????? ? ??????.
 0:01:18:  ?????.
 0:01:20:  ?????? 82.
 0:01:22:  ????????.
 0:01:24:  ?????.
 0:01:26:  ?????.
 0:01:50:  ????? 99.
 0:01:52:  ?????? 82.
 0:01:54:  ?????.
 0:02:14:  ????? 99.
 0:02:16:  ?????? 82.
 0:02:18:  ????? 99.
 0:02:20:  ?????.
 0:02:22:  ?????? 82.
 0:02:24:  ????????.
 0:02:26:  ?????.
 0:02:28:  ????? 99.
 0:02:30:  ????????.
 0:02:32:  ?????.
 0:02:34:  ?????? 82.
 0:02:36:  ????????.
 0:02:38:  ?????.
 0:02:48:  ????? 98.
 0:02:50:  ?????? 82.
 0:02:52:  ?????.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,3800,websdr_recording_2022-03-24T14 45 20Z_3800.0kHz.wav,RU,EN-US,"0:00:00 Tier 44. I carcass 82. Over.
0:00:12 I am Tier 44. Admission.
0:00:14 I am frame 82. How do you promote me? Over.
0:00:19 I am Tier 44. I get you for 4 points. How do you promote me? Over.
0:00:24 I skeleton 82. I get you for 4 points. Duty Officer. Over.
0:00:30 Duty Officer. Reception.
0:00:43 Apoca 0.9. I'm frame 82. Over.
0:00:54 I am frame 82. How do you promote me? Over.
0:01:05 I skeleton 82. I get you for 4 points. Duty Officer. Over. Over.
0:01:24 I skeleton 82. I get you for 4 points. Duty Officer. Over.
0:01:31 Apoca 0.8. I'm frame 82. Over.
0:02:01 I'm frame 82. Over.
0:02:32 Apoca 0.8. I'm frame 82. Over.
0:02:40 I'm a frame 82. How do you promote me? Admission
0:02:45 I ?eirus 0.8. I get you for 4 points. How do you promote me? Admission
0:02:50 I skeleton 82. I get you for 4 points. Duty Officer. Over. Over.
0:02:55 I'm Jeanne 0.8. Got it. Duty Officer. Over. Over.
0:03:01 I'm frame 82. I'm frame 82.
","0:00:00:  ???? 44. ? ?????? 82. ?????.
 0:00:12:  ? ???? 44. ?????.
 0:00:14:  ? ?????? 82. ??? ???? ?????????? ?????.
 0:00:19:  ? ???? 44. ??????? ??? ?? 4 ?????. ??? ?? ???? ?????????? ?????.
 0:00:24:  ? ?????? 82. ??????? ??? ?? 4 ?????. ????????. ?????.
 0:00:30:  ????????. ?????.
 0:00:43:  ????? 0.9. ? ?????? 82. ?????.
 0:00:54:  ? ?????? 82. ??? ???? ?????????? ?????.
 0:01:05:  ? ?????? 82. ??????? ??? ?? 4 ?????. ????????. ?????. ?????.
 0:01:24:  ? ?????? 82. ??????? ??? ?? 4 ?????. ????????. ?????.
 0:01:31:  ????? 0.8. ? ?????? 82. ?????.
 0:02:01:  ? ?????? 82. ?????.
 0:02:32:  ????? 0.8. ? ?????? 82. ?????.
 0:02:40:  ? ?????? 82. ??? ???? ?????????? ?????
 0:02:45:  ? ?????? 0.8. ??????? ??? ?? 4 ?????. ??? ?? ???? ?????????? ?????
 0:02:50:  ? ?????? 82. ??????? ??? ?? 4 ?????. ????????. ?????. ?????.
 0:02:55:  ? ????? 0.8. ?????. ????????. ?????. ?????.
 0:03:01:  ? ?????? 82. ? ?????? 82.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,3809,websdr_recording_start_2022-03-01T21_10_18Z_3808.9kHz.wav,RU,EN-US,"0:00:00 Takeoff is permitted.
0:00:02 Takeoff is permitted.
0:00:30 We continue to take off.
0:01:01 At runway 7.
0:01:03 I'm Pei.
0:01:05 The next hour.
0:01:07 suppressing 16 feet.
0:01:09 The acceleration is deepened.
0:01:11 We continue to take off.
0:01:15 We continue to take off.
0:01:17 Ready.
0:01:19 We continue to take off.
0:01:24 Course 280.
0:01:26 We continue to take off.
0:01:28 Mode 24.
0:01:30 Mode 27.
0:01:32 Deployment.
0:01:34 51.
0:01:36 Mode 06.
0:01:38 Deployment.
0:01:40 50.
0:01:42 842.
0:01:44 Reception.
0:01:46 Me first.
0:01:48 The next hour.
0:01:50 serving 30 feet.
0:01:52 Mode 07.
0:01:54 Mode 07.
0:01:56 Mode 07.
0:01:58 Mode 07.
0:02:00 We continue to take off.
0:02:02 Mode 07.
0:02:04 Me first.
0:02:06 That's a good thing.
0:02:08 Section away.
0:02:10 118. Admission.
0:02:12 Acceleration.
0:02:14 Mode 07.
0:02:16 Mode 07.
0:02:18 Mode 07.
0:02:20 Mode 07.
0:02:22 Mode 07.
","0:00:00:  ????? ????????.
 0:00:02:  ????? ????????.
 0:00:30:  ????? ??????????.
 0:01:01:  ?? ??? 7.
 0:01:03:  ? ???.
 0:01:05:  ?? ????????? ???
 0:01:07:  ????????? 16 ?????.
 0:01:09:  ?????? ????????.
 0:01:11:  ????? ??????????.
 0:01:15:  ????? ??????????.
 0:01:17:  ??????.
 0:01:19:  ????? ??????????.
 0:01:24:  ???? 280.
 0:01:26:  ????? ??????????.
 0:01:28:  ????? 24.
 0:01:30:  ????? 27.
 0:01:32:  ???????.
 0:01:34:  51.
 0:01:36:  ????? 06.
 0:01:38:  ???????.
 0:01:40:  50.
 0:01:42:  842.
 0:01:44:  ?????.
 0:01:46:  ? ??????.
 0:01:48:  ?? ????????? ???
 0:01:50:  ???????? 30 ?????.
 0:01:52:  ????? 07.
 0:01:54:  ????? 07.
 0:01:56:  ????? 07.
 0:01:58:  ????? 07.
 0:02:00:  ????? ??????????.
 0:02:02:  ????? 07.
 0:02:04:  ? ??????.
 0:02:06:  ??? ??????.
 0:02:08:  ?????? ????????.
 0:02:10:  118. ?????.
 0:02:12:  ??????.
 0:02:14:  ????? 07.
 0:02:16:  ????? 07.
 0:02:18:  ????? 07.
 0:02:20:  ????? 07.
 0:02:22:  ????? 07.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,3809,websdr_recording_start_2022-03-01T21_14_55Z_3808.9kHz.wav,RU,EN-US,"0:00:00 One, I'm here. One, come in.
0:00:03 I am the first, ready. Among.
0:00:07 The first, I'm here. First, among.
0:00:09 08, 15.
0:00:11 Extension.
0:00:12 08, 15.
0:00:15 08, 15.
0:00:17 Extension.
0:00:18 I'll get it.
0:00:19 08, 15.
0:00:21 Extension.
0:00:22 Among.
0:00:28 Flaps.
0:00:30 Extension.
0:00:32 08, 15.
0:00:34 Extension.
0:00:36 08, 15.
0:00:38 08, 15.
0:00:40 Extension.
0:00:42 08, 15.
0:00:44 Extension.
0:00:46 08, 15.
0:00:48 Extension.
0:00:50 Among.
0:00:56 29,930
0:00:58 We continue to take off.
0:01:08 Extension.
0:01:10 Among.
0:01:14 Nominal.
0:01:16 Switching off the equipment.
0:01:18 We continue to take off.
0:01:20 21. Crew Reserve.
0:01:24 21. Flaps.
0:01:26 4. Calculation.
0:01:30 Mode 230.
0:01:32 Mode 200.
0:01:34 Mode 200.
0:01:36 Mode 200.
0:01:38 Mode 200.
0:01:40 Mode 200.
0:01:42 Mode 200.
0:01:44 Mode 200.
0:01:46 Mode 200.
0:01:50 Mode 200.
0:01:52 Mode 200.
0:01:54 Domestic situation.
0:01:56 NOTE 2.
0:01:58 Flaps.
0:02:00 Nominal.
0:02:02 Flaps.
0:02:04 Flaps.
0:02:10 Among.
0:02:12 Nominal.
","0:00:00:  ??????, ? ???. ??????, ?????.
 0:00:03:  ? ??????, ?????. ?????.
 0:00:07:  ??????, ? ???. ??????, ?????.
 0:00:09:  08, 15.
 0:00:11:  ???????.
 0:00:12:  08, 15.
 0:00:15:  08, 15.
 0:00:17:  ???????.
 0:00:18:  ? ???????.
 0:00:19:  08, 15.
 0:00:21:  ???????.
 0:00:22:  ?????.
 0:00:28:  ????????.
 0:00:30:  ???????.
 0:00:32:  08, 15.
 0:00:34:  ???????.
 0:00:36:  08, 15.
 0:00:38:  08, 15.
 0:00:40:  ???????.
 0:00:42:  08, 15.
 0:00:44:  ???????.
 0:00:46:  08, 15.
 0:00:48:  ???????.
 0:00:50:  ?????.
 0:00:56:  29,930
 0:00:58:  ????? ??????????.
 0:01:08:  ???????.
 0:01:10:  ?????.
 0:01:14:  ???????.
 0:01:16:  ????????? ????????????.
 0:01:18:  ?????????? ?????.
 0:01:20:  21. ????? ???????.
 0:01:24:  21. ????????.
 0:01:26:  4. ??????.
 0:01:30:  ????? 230.
 0:01:32:  ????? 200.
 0:01:34:  ????? 200.
 0:01:36:  ????? 200.
 0:01:38:  ????? 200.
 0:01:40:  ????? 200.
 0:01:42:  ????? 200.
 0:01:44:  ????? 200.
 0:01:46:  ????? 200.
 0:01:50:  ????? 200.
 0:01:52:  ????? 200.
 0:01:54:  ????????????? ????????.
 0:01:56:  NOT 2.
 0:01:58:  ????????.
 0:02:00:  ???????.
 0:02:02:  ????????.
 0:02:04:  ????????.
 0:02:10:  ?????.
 0:02:12:  ???????.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,3809,2022-03-01T21_26_09Z_3809.0kHz.wav,RU,EN-US,"0:00:00 19, I 1st reception.
0:00:25 28th, I 1st reception.
0:00:30 Ready to watch, your 118th reception
0:00:32 Anna Malaya, I 28th reception
0:01:00 Your 118th reception
0:01:30 Your 118th reception
0:02:00 19, I 1st reception.
0:02:30 13, I 1st reception.
0:02:40 1st, I'm the 13th intake.
0:02:44 13, I'm 1st, ready to watch, your 118th reception
0:02:50 1st, I'm 13th, anchored
0:02:52 reception
0:02:54 13, I'm 1st, got you, got you, but give 118 the reception
0:03:04 Wait a minute.
0:03:24 5th, I 118th Reception.
0:03:26 Your 118th reception
0:03:30 Wait a minute.
0:03:32 5th, I 118th Reception.
0:03:38 I am your 118th reception
0:03:42 I remember your 118th reception.
0:03:50 I remember
0:03:52 Dortmund
0:04:07 h-h-h
0:04:52 28 reception
0:04:54 28 y 1 ready
0:04:56 watch the reception
0:04:58 28
0:05:00 118
0:05:02 section
0:05:04 0030
0:05:06 section
0:05:08 63
0:05:10 020
0:05:12 section
0:05:14 502
0:05:16 120
0:05:18 section
0:05:20 08,436 reception
0:05:26 28 i 1 i understood the reception
0:05:30 I understand I'm on call for the 28th reception.
0:05:46 19 i 1 reception.
0:05:50 sleep
0:05:52 preagram
0:06:00 COMMENTS classic
0:06:04acious
0:06:07 mother
0:06:14 ?
","0:00:00:  19-?, ? 1-? ?????
 0:00:25:  28-?, ? 1-? ?????
 0:00:30:  ????? ???????, ??? 118-? ?????
 0:00:32:  ???? ?????, ? 28-? ?????
 0:01:00:  ??? 118-? ?????
 0:01:30:  ??? 118-? ?????
 0:02:00:  19-?, ? 1-? ?????
 0:02:30:  13-?, ? 1-? ?????
 0:02:40:  1-?, ? 13-? ?????
 0:02:44:  13-?, ? 1-?, ????? ???????, ??? 118-? ?????
 0:02:50:  1-?, ? 13-?, ???? ?? ?????
 0:02:52:  ?????
 0:02:54:  13-?, ? 1-?, ??? ?????, ??? ?????, ?? ????? 118-? ?????
 0:03:04:  ??????
 0:03:24:  5-?, ? 118-? ?????
 0:03:26:  ??? 118-? ?????
 0:03:30:  ??????
 0:03:32:  5-?, ? 118-? ?????
 0:03:38:  ? ??? 118-? ?????
 0:03:42:  ? ?????, ??? 118-? ?????
 0:03:50:  ? ?????
 0:03:52:  Dortmund
 0:04:07:  h-h-h
 0:04:52:  28 ?????
 0:04:54:  28 ? 1 ?????
 0:04:56:  ??????? ?????
 0:04:58:  28
 0:05:00:  118
 0:05:02:  ??????
 0:05:04:  0030
 0:05:06:  ??????
 0:05:08:  63
 0:05:10:  020
 0:05:12:  ??????
 0:05:14:  502
 0:05:16:  120
 0:05:18:  ??????
 0:05:20:  08 436 ?????
 0:05:26:  28 ? 1 ? ????? ?????
 0:05:30:  ????? ?????? ? 28 ?????
 0:05:46:  19 ? 1 ?????
 0:05:50:  ???
 0:05:52:  ??agram
 0:06:00:  ??????????? classic
 0:06:04: acious
 0:06:07:  ????
 0:06:14:  ?
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,3809,2022-03-01T21_32_25Z_3809.0kHz.wav,RU,EN-US,"0:01:00 Switching off the equipment.
0:01:05 Hear the reception.
0:01:09 ? 13.
0:01:11 Ready to Watch.
0:01:13 Reception.
0:01:15 ? 12.
0:01:17 Ready.
0:01:19 Hear the reception.
0:01:21 Section.
0:01:23 64.
0:01:25 0.1.
0:01:27 9.
0:01:29 0.59.
0:01:31 The rest are 0.
0:01:33 ? 13.
0:01:35 Reception.
0:01:37 ? 13.
0:01:39 Section.
0:01:41 3.
0:01:43 9.
0:01:45 Ready.
0:01:47 Hear the reception.
0:01:49 0.1.
0:01:51 0.0.
0:01:53 ? 3.
0:01:55 ? 3.
0:01:57 0.1. 0.0.
0:01:59 Section.
0:02:01 64.250.
0:02:03 Section.
0:02:05 51.703.
0:02:07 Section.
0:02:09 50.842.
0:02:11 Reception.
0:02:13 ? 1.
0:02:15 ? 2.
0:02:17 Understood.
0:02:19 ? 1.
0:02:21 ? 2.
0:02:23 ? 1.
0:02:25 ? 1.
0:02:29 ? 1.
0:02:43 ? 1.
0:02:55 ? 1.
0:03:11 ? 1.
0:03:13 Reception.
0:03:25 ? 1.
0:03:27 Ready to Watch.
0:03:29 By 0.1.
0:03:31 0.0.
0:03:33 Height 118.
0:03:35 Reception.
0:03:41 ? 1.
0:03:43 Repeat request.
0:03:49 ? 1.
0:03:51 Signal 118.
0:03:53 Height 118.
0:03:55 By 0.1.
0:03:57 0.0.
0:03:59 How do you understand?
0:04:01 One small one.
0:04:07 ? 1.
0:04:09 Reception.
0:04:19 ? 1.
0:04:21 ? 1.
0:04:23 Signal 119.
0:04:25 Reception.
0:04:33 ? 1.
0:04:35 Ready to serve.
0:04:37 ? 1.
0:04:39 Hearing. Over.
0:04:45 ? 1.
0:04:47 Signal 118.
0:04:49 Section.
0:04:51 0.1.
0:04:53 0.0.
0:04:55 Section.
0:04:57 64.015
0:04:59 Section.
0:05:01 51.440
0:05:03 Section.
0:05:07 299.30
0:05:09 Radio.
0:05:11 Reception.
0:05:13 ? 1.
0:05:15 Questionable.
0:05:17 It was at 0.
0:05:19 It was yours for 0.
0:05:21 Reception.
0:05:23 It will be the same for an hour.
0:05:25 We're anchored.
0:05:27 Reception.
0:05:31 ? 1.
0:05:33 Roger that.
0:05:35 Reception.
0:05:37 First at 1.
0:05:39 ? 1.
0:05:41 ? 1.
0:05:43 21. Admission.
0:05:47 21. ? 1.
0:05:49 Questionable.
0:05:51 ? 1.
0:05:53 Ready to serve.
0:05:55 Reception.
0:05:57 1. ? 1.
0:05:59 One small one.
0:06:01 Ready.
0:06:05 19. ? 1.
0:06:07 Reception.
0:06:11 To be continued.
","0:01:00:  ????????? ????????????.
 0:01:05:  ?????? ?????.
 0:01:09:  ? 13.
 0:01:11:  ????? ???????.
 0:01:13:  ?????.
 0:01:15:  ? 12.
 0:01:17:  ??????.
 0:01:19:  ?????? ?????.
 0:01:21:  ??????.
 0:01:23:  64.
 0:01:25:  0.1.
 0:01:27:  9.
 0:01:29:  0.59.
 0:01:31:  ????????? ?? 0.
 0:01:33:  ? 13.
 0:01:35:  ?????.
 0:01:37:  ? 13.
 0:01:39:  ??????.
 0:01:41:  3.
 0:01:43:  9.
 0:01:45:  ?????.
 0:01:47:  ?????? ?????.
 0:01:49:  0.1.
 0:01:51:  0.0.
 0:01:53:  ? 3.
 0:01:55:  ? 3.
 0:01:57:  0.1. 0.0.
 0:01:59:  ??????.
 0:02:01:  64.250.
 0:02:03:  ??????.
 0:02:05:  51.703.
 0:02:07:  ??????.
 0:02:09:  50.842.
 0:02:11:  ?????.
 0:02:13:  ? 1.
 0:02:15:  ? 2.
 0:02:17:  ?????.
 0:02:19:  ? 1.
 0:02:21:  ? 2.
 0:02:23:  ? 1.
 0:02:25:  ? 1.
 0:02:29:  ? 1.
 0:02:43:  ? 1.
 0:02:55:  ? 1.
 0:03:11:  ? 1.
 0:03:13:  ?????.
 0:03:25:  ? 1.
 0:03:27:  ????? ???????.
 0:03:29:  ?? 0.1.
 0:03:31:  0.0.
 0:03:33:  ?????? 118.
 0:03:35:  ?????.
 0:03:41:  ? 1.
 0:03:43:  ????????? ??????.
 0:03:49:  ? 1.
 0:03:51:  ?????? 118.
 0:03:53:  ?????? 118.
 0:03:55:  ?? 0.1.
 0:03:57:  0.0.
 0:03:59:  ??? ???????
 0:04:01:  ???? ?????.
 0:04:07:  ? 1.
 0:04:09:  ?????.
 0:04:19:  ? 1.
 0:04:21:  ? 1.
 0:04:23:  ?????? 119.
 0:04:25:  ?????.
 0:04:33:  ? 1.
 0:04:35:  ????? ??????.
 0:04:37:  ? 1.
 0:04:39:  ?????. ?????.
 0:04:45:  ? 1.
 0:04:47:  ?????? 118.
 0:04:49:  ??????.
 0:04:51:  0.1.
 0:04:53:  0.0.
 0:04:55:  ??????.
 0:04:57:  64.015
 0:04:59:  ??????.
 0:05:01:  51.440
 0:05:03:  ??????.
 0:05:07:  299.30
 0:05:09:  ?????.
 0:05:11:  ?????.
 0:05:13:  ? 1.
 0:05:15:  ??????????????.
 0:05:17:  ??? ??? ?? 0.
 0:05:19:  ??? ??? ??? ?? 0.
 0:05:21:  ?????.
 0:05:23:  ????? ?? ????? ? ?? ???.
 0:05:25:  ?? ?? ?????.
 0:05:27:  ?????.
 0:05:31:  ? 1.
 0:05:33:  ??? ?????.
 0:05:35:  ?????.
 0:05:37:  ?????? ?? 1.
 0:05:39:  ? 1.
 0:05:41:  ? 1.
 0:05:43:  21. ?????.
 0:05:47:  21. ? 1.
 0:05:49:  ??????????????.
 0:05:51:  ? 1.
 0:05:53:  ????? ??????.
 0:05:55:  ?????.
 0:05:57:  1. ? 1.
 0:05:59:  ???? ?????.
 0:06:01:  ?????.
 0:06:05:  19. ? 1.
 0:06:07:  ?????.
 0:06:11:  ??????????? ???????.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,3809,2022-03-01T21_40_13Z_3809.0kHz.wav,RU,EN-US,"0:01:00 The height of 60m.
0:01:02 Steering to the left.
0:01:04 Reverse 0.
0:01:08 Straight pull.
0:01:10 Reverse 0.
0:01:12 Reverse 0.
0:01:16 Reverse 0.
0:01:18 Reverse 0.
0:01:20 Reverse 0.
0:01:22 Reverse 0.
0:01:24 Reverse 0.
0:01:26 Let's make it nine appointments.
0:01:28 9 reception.
0:01:32 Ready to Watch.
0:01:34 Reception.
0:01:36 9 reception.
0:01:42 Let's sit down.
0:01:44 Mode 50.
0:01:46 Mode 0.
0:01:48 Reverse 0.
0:01:50 Reverse 0.
0:01:52 Let's sit down.
0:01:55 Reverse 0.
0:02:02 24. First Reception.
0:02:04 To be continued.
","0:01:00:  ?????? 60?.
 0:01:02:  ??????? ?????.
 0:01:04:  ?????? 0.
 0:01:08:  ?????? ????.
 0:01:10:  ?????? 0.
 0:01:12:  ?????? 0.
 0:01:16:  ?????? 0.
 0:01:18:  ?????? 0.
 0:01:20:  ?????? 0.
 0:01:22:  ?????? 0.
 0:01:24:  ?????? 0.
 0:01:26:  ??????? 9 ?????.
 0:01:28:  9 ?????.
 0:01:32:  ?????? ???????.
 0:01:34:  ?????.
 0:01:36:  9 ?????.
 0:01:42:  ???????.
 0:01:44:  ????? 50.
 0:01:46:  ????? 0.
 0:01:48:  ?????? 0.
 0:01:50:  ?????? 0.
 0:01:52:  ???????.
 0:01:55:  ?????? 0.
 0:02:02:  24. ?????? ?????.
 0:02:04:  ??????????? ???????.
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
