,File Name,Original Transcription
14,161552Washington_DC_LIVE_12.4.2021_Patriot_Front_Protest_us_capital_support_indie_media_w_TT.mp4," I'm going to go ahead and steal it from you. Or just steal it from me. I guess we got one other journalist. No. America first. Yes. Ford, we love you. That's Ford. Yes. Oh. Look how not very happy I'm here. Who cares? How come Ford didn't come to come here? Why didn't he tell me to come to this? Isn't that mean? Shh. Nobody would like to talk when we ask to talk. I'm going to steal it. You have a lot of branches. Ford, why didn't you tell me this was happening? For backup. Oh my gosh. We should be working together and helping each other. I'm going to steal it. I'm going to steal it. Now I don't know what the rules are. Oh my gosh, I have to run around this? What am I supposed to do? Be careful not to trip. Oh my gosh, they're going to make me run around this? Actually, that's a better view. It's a better view. Oh, they fenced us all in. Oh my gosh, they got us all in fences. Well, this makes it very difficult for media. Exactly. This is what they do to media. This is communism. We have to wait until the end of it. How are we supposed to cover this? We can't. We're in communism. Yeah. We can't cover it. Media doesn't care. Good night. We love you guys. Oh my gosh, Karen. Just follow me, back me up. We live in communism. The media is not allowed to cover anything. Watch this. First Amendment only. That's all you said. Okay. It's not okay that we have got all these fences. We're getting stuck in them. We're supposed to have freedom of the press. We don't. These guys have to stand up. Thank you. Yeah, watch out. Jeez, thanks. Okay, thank you. Thank you. I'm going to cover you with that. I need you to do that. I need you to do that. I need you to do that. Tear down. Slow it down. Slow it down. I'm lost. Fuck you. I'm lost. Fuck you. I'm lost. I'm lost. Fuck you. I'm lost. I'm lost. Go home and die. Go home and die. Go home and die. Fucking scum. You see a woman died. Let's go. Go home and die. I'm wearing leopard print pants, and now I am. Go home and die. Both sides shield. Driver's axle. Be careful. Be careful here. I can only go to my battery's run off. I can only go to my battery's run off. Go home and die. No problem. Put your hat on front. Put your hat on front, please. There's a gentleman. Go home and die. Beautiful. This is true America. Standing up for what they believe in. Everyone has the right to do that. Stand up for what you believe in. Oh my gosh, what was that? The police are being aggressive. The police are being dangerous, not the protesters. Protesters are peaceful. This is what America was founded on. Standing up for what you believe in. I'm independent media. I have no opinion. I'm neutral. I'm just showing you what's happening in your city, county, and on the federal level. Washington, D.C. December 4th, 2021. I don't have the proper equipment to cover all this. So y'all better start donating and taking me seriously. Because I'm ready to cover everything. I really love seeing all the American flags. You guys know my dog is the American Revolution. My family is from Pennsylvania and we have to stand up for freedom. We do not want to live in communism where the media is censored every single day in a new and different way. This is for all the mothers so that their daughters can be free. So we're crossing the bridge in the Virginia. I'm not wearing any shoes. This is like last December. These people are totally respectful to me. No one's been violent. There's no violence here. It's totally peaceful. Except the police are pushing us around too much and we're independent media and we have the right to be here. I was not prepared for this. And that's why you guys care about what's happening in your city, county, and state on the federal level. You really need to be way more supportive for independent media. Because there's no ABC, NBC, CBS. There's no news covering us. And these protesters, these men, are being really kind. The police are being stressful. They're violating the First Amendment. The police are. Protesters have the right to protest. No matter what group you're with, you have the right to protest. And after what I've seen in Washington DC in the last month is that we have no First Amendment. We have no freedom of the press. Very important to stand up for independent media. There is no ABC, NBC, CBS. Nobody's covering us. They're too scared. And what are they scared of? To show that America is divided right now? Because we have a president that doesn't even work? He has no schedule today? The president has no schedule today. I don't want a president that doesn't have a schedule. Come on. Let's be honest. Let's be honest. This better be on Rumble. This better be on all my channels. This better be on Telegram. Every single channel I have because I'm independent media. Who, what, where, when, why, how? Do not violate my First Amendment. Freedom of the press. This guy's like on a bicycle. He doesn't care. I need battery packs. I need everything. I'm not going to do an RV. I'm going to show you what's happening. So you understand that America is divided right now. And I'm grateful to be here and I'm grateful that the people protesting right now are so kind. I don't know what they believe in because no one will tell me. But what we believe in is freedom of the press. Please archive this footage because I get banned everywhere. Whoever's out there listening to this, freedom of the press, turn your cameras on. Document history of the United States of America. December 4th, 2021, Washington, D.C. Crossing the Arlington Bridge. What am I crossing right now? We're going into Virginia. We're going into Virginia. We're going into Virginia. We're going into Virginia. We're going into Virginia. We're going into Virginia. We're going into Virginia. You guys told me it's dark in Virginia. You got what you wanted. Put your hat the other way. No, these aren't for girls. Put your hat the other way. Are they different from people who I don't know? Yeah, they're different. Go ask your journalist. Who, what, where, when, why, how? Go ask. Because they think I'm a journalist. That's not true. You were talking. I can't talk right now. Okay, no talking. No talking on the phone. This is ridiculous. You were praying for this. You got what you wanted. You were suicidal. You just thought you were in heaven. You got what you wanted. And now you're complaining. What am I complaining about? Nothing. I love you. Thank you for bodyguarding me. I need a bodyguard. Now you can see. If you guys haven't been here, woo! Get your DC's for America. Thank you. He's a big peep. He wouldn't be here if he said that. Someone archive this footage. All my moderators, if anybody's out there, you better archive this. Place it everywhere. Because this is a moment in history where people are standing up for what they believe in. We don't know what they believe in right now, but... They're really respectful to me. They're really respectful to me. No fake news. In every city there's over 100 Melissa's. Of different races, ethnicities. And in the end, people who believe in freedom, American patriots, have to stand united, not divided. Daughters of the American Revolution, it's time for us to be united, not divided. Our First Amendment doesn't exist in the United States anymore. Your freedom to assemble, your freedom to press. America, make America great again. Nothing to do with Trump. Trump has nothing to do with this. I'm not going to be a part of this. I'm not going to be a part of this. I'm not going to be a part of this. Nothing to do with Trump. Trump has nothing to do with this. Trump's over. This is about your freedom to say and do and be and think whatever you believe in. This is the United States of America. It's about your... Okay, so we might have to cross. See, I don't know what the rules are anymore with all this stuff. We're going to go in the middle. I know. When I was in school, they don't give us all these rules, so nobody knows what the rules are. We're allowed to be on public places. Okay, let's go in the public place. Yeah, I know. You guys, I think I have to go over there because I'm media. We have to go on that side. Stop. Stop. Stop. I'm media. This is my bodyguard. I'm media."
15,171553Washington_DC_LIVE_12.4.2021_Patriot_Front_Protest_us_capital_support_indie_media_w_TT.mp4," What is this? You're protesting. What? Owl. Ouch. No, this isn't... Hello? I'm in the most dangerous protest I've ever been in, so watch this and tell me what works and what doesn't. I'm serious. This is the most dangerous protest I've ever been in. Okay, call me back. I'll give you a call. I'm in the most dangerous protest I've ever been in. Hello? Do you guys know what this protest is for or against? It says, Reclaim America, so I don't know what that means. Okay. We don't think we sold it. We would not take our cause with your treacherous lack of conviction. Now and then, the pirates of the Pacific would say we'll deny you. Fuck you fascists! Fuck you fascists! Fuck you fascists! Fuck you fascists! The man between our marching ranks is savage! America is free between the first warriors of patriotism! And when we die, we take our place and put up a new kind of liberty, standard to all people. What is that? What is that? I don't know. I think it's a state policy statement. But of all people, it's yours only, you. Fuck you fascists! Fuck you fascists! Fuck you fascists! Every day! Fuck you fascists! Fuck you fascists! Fuck you fascists! Fuck you fascists! Fuck you fascists! Fuck you fascists! Fuck you fascists! Fuck you fascists! Fuck you fascists! On and on, they speak of democracy. They can't practice what they preach, as we do. They come out from behind the plane, out beyond the police lines. They want our compliance. Come and take it, or don't come at all! For the life of our nation! For the liberty of our people! For the future of America! For the freedom of our nation! Why must we be slaves? kill and ruin our nation? kill and ruin our nation? kill and ruin our nation? kill and ruin our nation? kill and ruin our nation? kill and ruin our nation? kill and ruin our nation? kill and ruin our nation? kill and ruin our nation? kill and ruin our nation? kill and ruin our nation? kill and ruin our nation? kill and ruin our nation? kill and ruin our nation? kill and ruin our nation? kill and ruin our nation? kill and ruin our nation? kill and ruin our nation? kill and ruin our nation? kill and ruin our nation? kill and ruin our nation? kill and ruin our nation? kill and ruin our nation? kill and ruin our nation? kill and ruin our nation? kill and ruin our nation? We claim America! We claim America! We claim America! We claim America! We claim America! We claim America! We claim America! We claim America! We claim America! We claim America! We claim America! We claim America! We claim America! We claim America! We claim America! We claim America! We claim America! We claim America! We claim America! We claim America! We claim America! We claim America! I'm in the Thandamedia. I'm in the Thandamedia. I'm in the Thandamedia. I'm in the Thandamedia. I'm in the Thandamedia. I'm in the Thandamedia. I'm in the Thandamedia. I'm in the Thandamedia. I'm in the Thandamedia. I'm in the Thandamedia. I'm in the Thandamedia. I'm in the Thandamedia. I'm in the Thandamedia. I'm here at a night time wedding. You won at the Thanders so be happy. Be happy. We're waiting. We were waiting for American Patriots to come back to D.C. I just don't know if these are federal agents. Or if they're real or fake. We don't know anything. That's the problem. I have no idea what's going on most of the time. So if there's sandbags all over here and there's American Patriots second D.C. jail without bail. Then that's unacceptable behavior. And I have no night time wedding. That's your guys' fault. They're not donating enough to make sure I'm safe. But I have two bodyguards. I think they're the only independent media out there. Exactly. So just back me up a little bit. Richard is missing out like crazy. I know. Richard is not covering anything. He's gonna take my footage. Richard, you took my footage. You better give me credit now. I'm the one wandering the streets of D.C. Exhausted. Getting banned everywhere for I don't know why. There was no night time wedding. I'm surprised to see this level of competence. That explains why the police and the helicopters and everything have been so crazy. Can you guys ask them questions and ask them what they're doing and help me be journalists? Who would wear a white hat? Professor, can you help me ask questions? Professor. Professor, they don't like to talk to women. Can you help me ask questions? Who would wear a white hat? The guy in the cowboy hat. They don't like, they don't respect women. I love them, but they don't respect women. I love every protester in America. I love people with passion for anything. I love people who are willing to do anything. I love every protester in America. I love people with passion for anything. Can you ask them where they're from? Hello! They don't respect me. Can you be a journalist and ask who would wear a white hat? I feel like we're going to come to a stop and then we can ask them that. Okay. I'll probably run out of battery. The one time I didn't expect this. It's happening. Hey, hey, hey, this way. This way. Someone screenshot it. We all got a little bit of everything. Bye. Hello, hey guys. Hello. Hello. Probably almost everyone who walked past yells at them. It's sad. Back me up. See, look how friendly they were. Oh my God. Were your security go? I have my press passes. Yeah, we're not going to let you get away. Don't leave me. I have that security with me. You need double security. I got my press pass. We're sad. I just don't have good lighting. Yeah. And I don't have any shoes on. Can you believe this? Oh my goodness, you're right. How do I know? You don't have any socks? This happened to me last time when we were following the project. What? I don't see any socks. Not socks. This is a really bad accident. I don't see any. Men don't have a shield. Hey! Hey! Hey! Hey! Hey! Hey! Hey! Hey! Yeah, I would like to get a sense of what they actually stand for, what they actually want, etc. Probably it is different from what they're portrayed as. Step. Step. Go. Watch the trees! Watch the trees! Trees! The flag is crossed. Watch the trees! Trees! Trees! Trees! Trees! On the right! Trees! Trees! Oh yeah. I don't know. We saw them near the Capitol and then they've been marching. They're called Patriots or something. I don't know what it's called. Yeah. On the left, we've got to go behind the tree. Marks & quase. Marks & quos. Marks & qos. Check over there. No, no, no. No, no aim. No aims. I Aim! Aims. I know you! I know you! Just do the job. Um, well, you can watch more than two episodes to be able to... It's got, it's gone downhill. The show is complete. It's not even true. I've been watching it. You saw it. You've been eating bread. These guys are... Whoa, whoa, whoa, whoa. They're eating the first round. Are those slippers or just socks? They're socks! I took my shoes off. I didn't know we were going to run into this. Oh, true. I was trying to look at the US Capitol. Yeah, you've had to walk a long way. You've been waiting for this, Professor, so thank you. This is so cool. You've been waiting, so this is your prayer answered, so be grateful. This is true. Just ask the guy in the cowboy hat who they are and what they want. Yeah, well, they got a little mad when I was talking to them. They don't want women to vote for them. Why? You're America first? Put your hat on, no, put your hat on the right way. Yeah, but they are... Put your hat on the other way. They're really not the same as America first. Well, we don't know what they are. Well, they love America, but then they weren't allowed to tell me that. I'd rather have these people in power than stupid Biden. I'm sick of that guy. Yeah, me too. I'd rather have these guys in power than Doug Emhoff. I'd rather have these guys tell me what to do. They're hot. I'd much rather have... These guys are good looking and hot. I'd rather say yes, sir, to these guys than anybody. Let's go, Brandon. No, Brandon. These guys are good looking and they care about the daughters of the American Revolution. I think she's not wrong. It's true. I think they care. You're not wrong. I mean, look how peaceful they are and they got attacked so viciously, unprovoked. Who attacked them? They don't appear to have done anything wrong. No one attacked them. Antifa just goes... Off you go! Off you go! Off you go! Off you go! Off you go! Off you go! Off you go! Off you go! Off you go! Hi! I love this. It's so fun. Let's keep going. Bodyguards are supposed to be helping me. Yes, we're ready. We're going to do it more. No, they're fine. You guys are not doing good bodyguards. No, I'm fine. I'm fine. It happens all the time. Let us help you. You're supposed to be a black person. Don't scare me. You're a new live channel. You've got to go. I'll try to, but every time I do it, it's so bad quality. Like, my internet's not doing it for me. Oh my gosh. You see the peace? Don't tell us that's the peace. It's so rude. Yeah, they don't care about anything. These guys are hot, though. It's fine. They're really good. No, they're really sweet. I'm a daughter of American mothers, and they better help. We live in common as anyone would argue. And the change comes when a bodyguard is supposed to be watching me. You're supposed to be watching me. Yeah, you do need to. Yeah, and he's a bodyguard. You're getting yourself in trouble. I'm getting the owl back. You're getting yourself in trouble so quickly. You're supposed to help me. It's fine. Don't worry about it. I don't care. Focus on the merge. Focus on the merge. Maybe she's on both sides. Okay, we're good. You're so hot. These guys are hot. Ow, my feet. Yeah, you're my type. I can't move right. I can't move right. I'm sorry. It's really for these balls that I'm following because they're like pushing me on the side. You have to respect the media. You still got some good action. No, I'm about to get a break. They're pushing me. I'm sorry. I'm sorry. Yeah, I'm flying. I'm kind of stuck right now. I'm in the middle of the media. I love you guys. I'm the daughter of the American Revolution. Thank you for coming. We live in communism. We're getting censored. I'm sorry. I'm sorry. I'm sorry. I'm sorry. I'm sorry. If all my batteries die, then I'm... No, this is very difficult. Because you cannot even drive. You have to be fully equipped. Which is very difficult. I'm sorry. I'm not going to do it as well as you. We'll do it. I'll try Alex. He'll be here. Alex and the other guys. We can do it. Okay. I'm not going to do it as well as you. I'm American first. These people will save us from communism. These people are amazing. These people are going to save us from the oppressive movement. Because it's our living. That's what we're looking for. That's what we're looking for. Because my battery died. My battery died. Just relax. My battery died. I'm going to walk. I'm going to walk. There's no way to progress. There you go. There you go. There's a one-hit bomb. I'm going to go. I'm going to go. I'm going to go. I'm going to go. My battery died. My battery died. There's no other way to progress. I'm going to go. I'm going to go. My main."
16,181554Washington_DC_LIVE_12.4.2021_Patriot_Front_Protest_us_capital_support_indie_media_w_TT.mp4," What is this? You're protesting. What? Owl. Ouch. No, this isn't... Hello? I'm in the most dangerous protest I've ever been in, so watch this and tell me what works and what doesn't. I'm serious. This is the most dangerous protest I've ever been in. Okay, call me back. I'll give you a call. Do you guys know what this protest is for or against? It says reclaim America, so I don't know what that means. Okay. We're not like we sold it. We would not take our cause with your treacherous lack of conviction. Now and then the pirates of the 30th would say we'll deny you. Fuck you fascists! Fuck you fascists! Fuck you fascists! Fuck you fascists! Fuck you fascists! The man between our marching ranks is savage! America is free between the faithful and the patriots! America, we pledge loyalty. We will put up a new town for liberty, friendly to all people. We'll defy you fascists! But of all people, I choose only you. Fuck you fascists! Fuck you fascists! Fuck you fascists! Fuck you fascists! Fuck you fascists! Fuck you fascists! Fuck you fascists! Fuck you fascists! Fuck you fascists! Put this against America! We are free as we do! Get out from behind the plane. Go beyond the police lines. They want our compliance. Come and take it! Or don't come at all. For the life of our Nation! For the living of our people! For your children, for your children! You are not a traitor! You are not a traitor! NASA locates Ukrainians gamers with a dogور Soviet allies destroy US thermal probes A young guy eats a thread A Soviet guy eats a thread An icicle is shown as instrument complete alt what is this exactly cannot hear anything definitely something I think in law shooting horrors hahaha come on shake it, shake it shake it for me go home to your bunker and do yourself like Hitler laugh, laugh, laugh laugh, laugh, laugh follow me, follow me Anders, follow me follow me, follow me Anders Anders, follow me, come on we love you guys, stand up for America we love you, stand up for America Anders, stand up for America we love you guys, stand up for the constitution we respect you, stand up for the constitution Anders, don't let anybody bother you just stay calm, this is really important turn your stream on, turn your stream on turn your stream on, I'll be upset watch out guys, watch out we love you guys, stand up for America we love you guys, stand up for America we love you guys, stand up for America we love you guys, stand up for America I'm going to walk, if you want to stay in the car, I'll walk I'm going to walk in the car march march march march America first I have over crossed, stay away from me I am a super spreader of events I heard the money words I am general I am general We claim America! For liberty and victory! For liberty and freedom! For liberty and freedom! For liberty and freedom! For liberty and freedom! For liberty and freedom! For liberty and freedom! For liberty and freedom! For liberty and freedom! For liberty and freedom! For liberty and freedom! For liberty and freedom! For liberty and freedom! For liberty and freedom! Officers, we are going to take a left at the open gravel path Officers, prepare for a left turn across the gravel We are going to stay here tonight, I want to come over We are going to stay here tonight, I want to come over We are going to stay here tonight, I want to come over We are going to stay here tonight, I want to come over We are going to stay here tonight, I want to come over We are going to stay here tonight, I want to come over We are going to stay here tonight, I want to come over We are going to stay here tonight, I want to come over We are going to stay here tonight, I want to come over We are going to stay here tonight, I want to come over We are going to stay here tonight, I want to come over I'm Corinne, Corinne, Corinne, C-O-R-I-N-N-E, I'm Independent Media We are going to stay here tonight, I want to come over We are going to stay here tonight, I want to come over We are going to stay here tonight, I want to come over We are going to stay here tonight, I want to come over We are going to stay here tonight, I want to come over We are going to stay here tonight, I want to come over We are going to stay here tonight, I want to come over We are going to stay here tonight, I want to come over Hi Kai, I'm a daughter of the American Revolution, I'll give you my social media so you can trust me You have to be neutral at all times, I'm just docking that, what's going on 5.45pm Eastern Standard Time, December 4th, 2021, Washington DC, Washington Monument, US Capitol We are going to stay here tonight, I want to come over We are going to stay here tonight, I want to come over We are waiting for American Patriots to come back to DC, I just don't know if these are federal agents, but if they are real or fake we don't know anything, that's the problem I have no idea what's going on most of the time, except there's sandbags all over here, and there's American Patriots 2nd DC Jail without bail, and that's unacceptable, believe me I have no nighttime lighting, that's nearby the spot, they're not donating enough to make sure I'm safe, but I have two bodyguards I'm the one wandering the streets of DC, exhausted, getting banned everywhere for I don't know why, there was no nighttime lighting I'm the one wandering the streets of DC, exhausted, getting banned everywhere for I don't know why, there was no nighttime lighting I'm the one wandering the streets of DC, exhausted, getting banned everywhere for I don't know why, there was no nighttime lighting I'm the one wandering the streets of DC, exhausted, getting banned everywhere for I don't know why, there was no nighttime lighting I'm the one wandering the streets of DC, exhausted, getting banned everywhere for I don't know why, there was no nighttime lighting I'm the one wandering the streets of DC, exhausted, getting banned everywhere for I don't know why, there was no nighttime lighting What's happening? Someone just screenshoted from the internet We all got a little bit of everything here Hello, hey guys, hello, hello Probably almost everyone in the broadcast yells at me, they say Wrap me up, oh my god, I have my press passes Don't leave me, I have that security with me, I got my press passes, we're set, I just, I don't have good lighting, I don't have any shoes on, can you believe this? How do I know, this happened to me last time when we were following the project Not soft I'm not sure if this is a real set or not, probably it is different from what they're portrayed as Stop, 많은 대를 들이, plenty of trees, tree, tree The flags crossed the trees tree, tree, tree, tree, tree, tree, tree, tree, tree, tree, tree, tree, tree, tree, tree, tree Oh yeah I don't know, we saw them near the capitol and then they keep marching They're called Lutheran, I don't know what it's called Right, now we're just following them Ground, good and fine, please leave the band and ride the green Roger that, thank you, ladies and gentlemen, we'll be on our way Drop the gold Drop the gold Drop the gold Drop the gold Drop the gold Drop the gold We're gonna have a flag, so we're gonna use the tip of it Let's go, let's go Just do the job Good, good, good Good, good You may watch more than two episodes of the American Legion It's got, it's one down hill, the show is complete, it's not even finished You saw it, we've been in it for ages These guys are... Whoa, whoa, whoa, whoa Whoa, whoa, whoa, whoa Hey, stop, hold the flag Are those slippers or just socks? They're socks I took my shoes off, I didn't know we were gonna run into this Oh, true I was trying to look at the US Capitol Yeah, you've had to walk a long way You've been waiting for this, professor, so thank you, hon This is so cool, yeah You've been waiting, so this is your prayer answered, so be grateful This is true Just ask the guy in the cowboy hat who they are and what they want Yeah, well, they got a little mad when I was talking to them They don't want women to vote Why? You're America first, put your hat on, no, put your hat on the right way Yeah, but they are Put your hat on the right way Well, we don't know what they are Well, they love America, but then they weren't allowed to tell me what to do I'd rather have these people in power than stupid Biden, I'm sick of that guy Yeah, me too I'd rather have these guys in power than Doug Emhoff I'd rather have these guys tell me what to do, they're hot I'd much rather have... These guys are good looking and hot I'd rather say yes sir to these guys than anybody Let's go, Brandon No, Brandon These guys are good looking and they care about the daughters of the American people I'd rather have these guys in power than stupid Biden These guys are good looking and they care about the daughters of the American revolution I think she's not wrong It's true, at least they care You're not wrong I mean, look how peaceful they are and they got attacked so viciously, unprovoked Who attacked them? They don't appear to have done anything wrong No one attacked them Lady Antifa just goes off the wall Off the wall, off the wall Off the wall, off the wall Off the wall, off the wall Off the wall, off the wall I love it, it's so fun, let's keep going Bodyguard, you're supposed to be helping me Yes, we're ready We need to get down We're gonna do it more Oh, you got it No, they're fine You guys are not doing good bodyguards I'm so glad you didn't hurt me I'm fine I'm great, let us help you It happens all the time Let us help you down, next time You're supposed to be a black girl Don't scare me Turn your lights on, turn your lights on I'll try to, but every time I do it, it's just so bad quality Like my internet's not doing it for me Oh my god I'll be back You see the police, don't tell us that the police are covering Are you kidding me? Yeah, they don't care about anything These guys are hot though I'm fine They're not going to hurt you, are they? No, they're really sweet I'm a daughter of American mothers, they're my better half They're not even hominids, neither are I I'm gonna change zones now Bodyguard, you're supposed to be watching me Oh, I'm sorry You're supposed to be watching me Yeah, you're really cute Yeah, I mean bodyguards You're getting yourself in trouble I'm getting the owl back You're getting yourself in trouble so quickly You're supposed to help me It's fine, don't worry about it, I don't care Focus on the merge, focus on the merge Maybe she's on both sides I think we're gonna get a police on here Over here, these guys are here though Ow, my feet Yeah, you're my pride That little rabbit I'm gonna get a police on here It's really for these balls that I'm following Because they're like pushing me on the side Like, you have to respect the media You still got some good action No, I'm about to get a police Like, they're not, they're pushing me I'm gonna get a police on you Thank you Yeah, I'm flying, I'm kind of stuck right now I'm in the middle of the media, I love you guys I'm the daughter of the American Revolution Thank you for coming We work in communism, we're getting censored I'm gonna get a police on you I'm gonna get a police on you If all my batteries die, then I'm in Okay No, this is really tricky Because you cannot even drive You need to be fully equipped Take this bag Okay It's kind of like a little playground It's a little weird, I'll try Owl It's a little weird Owl's in there with us We can do it We can do it People will say that, in communism These people are amazing These people are gonna say that we are crazy We're crazy Because of our living That's how we live Is my battery dead? Is my battery dead? Just relax Is my battery dead? I'm just Staying in there In that There's no way to put it in Ow! Take off There we go There's a one-ton bomb in there I'm gonna go for it I'm gonna go I'm gonna go I'm gonna go I'm gonna go I'm gonna go I'm gonna go I'm gonna go I'm gonna go I'm gonna go I'm gonna go My battery's dead I'm gonna go I'm gonna go What if my battery's dead? Because they're gonna have to burn it I'm gonna go I'm gonna go I'm gonna go I'm gonna go I'm gonna go I'm gonna go I'm gonna go My main gun"
17,183344.mp4," As far as like, here people, we can see where this goes right here. Right. Maybe, maybe there's something we can just go down that hill for. We're not even gonna walk down there. Yeah, he's bringing his camera. I was like, perfect cover, dude. Yeah, really? Yeah, you're my husband, you're my friend. Oh, this is like a park, right? Yeah, this is a park. Oh, is it? I suppose so, yeah. Oh, cool. I like the caterpillar, it's cute. This seems like it might work. Honestly, yeah, this would be great for a guy at a wedding. Yeah. I would just, I would see what the view would like from right there, what like the, if something would work. Yeah, right. This is a really nice little town. Sure is. Yeah. Yeah. Yeah. Jeez. I know. Good old Harriet. Harriet Tuberman. What do we do without her? Nothing, we wouldn't have this country, it wouldn't be existing. They've, yeah. You know what I can't help wondering? Those lights right there, they're all attached to that system right there, it looks like. The system's unplugged, so you could just walk up and unplug it, couldn't you? I guess, I don't know. We've got to be missing one. You know what they may be relying on? James, where would you put one? I don't know, maybe in a light pole or. There's no way there's only two. Have we considered one across the street? Yeah, that's what I'm thinking, like over that way. Yeah, if they can reach that far. It looks like, I wonder if those were there before or if those are there for that particular reason. Can we disarm them? It's possible they've been there for a while. Can we disarm them and if they do get cut, does it trigger a response to the police station? Well, I mean, I think if everybody's, you know, wearing what they're supposed to be wearing. It wouldn't matter. It wouldn't matter, you don't, you know, park around. One thing I did notice was it looks like they're probably hooked up to the same thing everything else is over there. In this case, that's exposed. You can literally just unplug it. Where's that at? On the other side of that mosquito wall. Yeah, I wanted to see how loud that could be. It literally doesn't matter what I have to hold on to. You don't need to wire it. It's obvious it's coming back to you. I was listening to that for the last time. It's probably right there. We had karaoke going and everything else. We don't want someone getting caught. Yeah, I know, yeah. It's nice that they have an outlet right there. Yep. A little secret. Yeah."
18,191627yt5s.com-Members_of_the_Patriot_Front_marching_in_formation_on_the_National_Mall_in_Wa.mp4, 1677 1677 1677 1677 1677 1677 1677 1677 1677 1677 1677
19,1_4934073479210205678.mp4, Who is the man with a great big pair of balls doing activism all on his own? Sam! Damn right! You better believe it!
20,2.mp4, Thanks for watching!
21,20161231_180152.mp4," Alright. Should be quicker than this guys. Just squat on there, use your hands, do whatever. Get this shit on here. Get the bottom, get the bottoms. Top, top, top left. Quick, quick, quick."
22,20161231_182230.mp4," This Sunday, April 9, 2011, at 10 p.m., a gentleman asked if receivers were allowed to use urns outside of professional ballparks. The man w Simon Capitol suspect's reputation was dogged, but his efforts were frustrated with nothing but bad receives. On October 18, 2011,  recoil-defending defenses went out of power."
23,20161231_183241.mp4," We're next to the bridge. It's not gonna make it. Alright. You guys take the right. There's the sign behind the house. Ah shit, it's red. Just make sure, once they start, make sure none of the cars can see you. Alright, I think we're good. That's a smoothie right there. Alright, where you guys doing it? On the other side right there? Yeah, just take it a little. Alright. Alright. Hold it. Alright. We're gonna get a sprint at the hospital. Excuse me, we got a bunch of cars coming. Alright. Let them come. There's still one door for Noah and Jaspers. Faster guys. There's still one door for Jetson and Murray. Who still draws the red? Ooh, that was close. That felt different. Alrighty. Let's go. That's the best we've ever done. I think ever. See you guys."
24,20161231_184013.mp4," Oh dang, see? So we get really great work out of that. Well, I used both. I think the other one has a little bit more left. Let's see. Works really good. Alright, here we go. That should be good. That's what it sounds like when, after you eat some taco food. Thank you, Jason. Thank you. Very, I really wanted that image in my head. Thank you. Very helpful. Did you ever see that meme where it's like Rouge the Bat from Sonic says, Damn boy, were you frying chicken in there? Nah, you pissed real hard. I think that's pretty cool. Hey, Jason New York. Hey, Mason. Listening to this right now. Don't you like my jokes? On behalf of myself and Network 2 as a whole, I apologize for Jason's humor. It's very crude at times. It's the best humor. Just keep moving it here. Whatever you say, Jason. Whatever you say."
25,2021-09-18_23.56.03.mov, You want a three?
26,2021-10-13_22.55.43.mov, Thanks for watching!
27,2021-10-16_11.14.44.mov," There's no rush. And then once you begin, I do for tall guys. Or directly behind. Cool cool cool come on this will barely one more. Let's go. Get up there. OK one."
28,2021-10-16_11.15.50.mov," Two, three, four, five, six, seven, eight. You got it, you got it. Oh! I'll say nine. I saw the ten just touch the bar. Come on, Chris, come on, come on, come on. Nine, we'll call nine."
29,2021-10-16_11.17.50.mov," I mean, he's a buck forty, he should get twenty-one. I'm only one forty, so don't get like ten. How many can you do one hit? I think I can do one hit. I think I can do one hit. Bust him out. Full extension. One. Good boy. Two. Three. Four. Five. Six. Seven. Eight. You better not beat mine. Nine. He ain't got ten. Ten. Keep going, keep going, keep going. Eleven. He's got twelve. You got a big Jesse there, K? Twelve. Two more. Come on, come on, come on, come on. Yeah. In your base. Yeah. You got it, you got it, you got it."
